ID,談話関係,Arg1（1つ目の文）,Arg2（2つ目の文）
w201106-0000092302,原因・理由(順方向),紹介予定派遣に限り派遣先との事前面接や履歴書の送付が認められている。,そのため派遣スタッフに面接や履歴書の提出を求めることはできない。
w201106-0000092302,原因・理由(順方向),一般労働者派遣では、派遣先が派遣スタッフ個人を特定することは法律で禁じられている。,そのため派遣スタッフに面接や履歴書の提出を求めることはできない。
w201106-0001102679,原因・理由(順方向),平日は、夜８時まで営業してますので、,会社帰りにお寄りいただけます。
w201106-0002700274,原因・理由(順方向),アルファベットの元になったフェニキア文字もこの地で生まれた。,このことからアルファベット発祥の地と言われることもある。
w201106-0001368236,原因・理由(順方向),人は表現する方法をいろいろ持っている。,自分が表現しやすい方法で伝えたいことを表現すればいい。
w201106-0001153200,談話関係なし  原因・理由(順方向):少数意見,平成２２年４月１日より新会社として、営業を開始いたします。,これまで以上に地域に根ざした営業活動の徹底とサービスの提供を図ってまいります。
w201106-0001153200,談話関係なし  原因・理由(順方向):少数意見,平成２２年４月１日より新会社として、営業を開始いたします。,その業務を通して、お客様の暮らしかえの夢を実現するお手伝いができればと思っております。
w201106-0001153200,談話関係なし  原因・理由(順方向):少数意見,これまで以上に地域に根ざした営業活動の徹底とサービスの提供を図ってまいります。,その業務を通して、お客様の暮らしかえの夢を実現するお手伝いができればと思っております。
w201106-0000607737,談話関係なし  原因・理由(順方向):少数意見,たくさんの「むすび」を大切に、百姓暮らしをしています。,みなさまにお会いできるのを楽しみにしています。
w201106-0000478633,原因・理由(順方向),本日、自由奔放な我ら夫婦の生活は５年目の節目を迎えました。,妻には薔薇を贈ります。
w201106-0000947182,その他根拠(順方向),朝と夕方、イワツバメが上空を賑やかに飛び回っています。,現在、巣材集めの真っ最中のようです。
w201106-0000947182,その他根拠(順方向)  条件(順方向):少数意見,センター近くにある玄倉大橋に、ずら〜っと巣を作るのですが、,現在、巣材集めの真っ最中のようです。
w201106-0000947182,目的(順方向),センター近くにある玄倉大橋に、ずら〜っと巣を作るのですが、,泥や枯れ草をくちばしにくわえて飛び立っていきます。
w201106-0000947182,その他根拠(逆方向),現在、巣材集めの真っ最中のようです。,泥や枯れ草をくちばしにくわえて飛び立っていきます。
w201106-0000947182,目的(逆方向),湿った地面に降り立っては、,泥や枯れ草をくちばしにくわえて飛び立っていきます。
w201106-0000184070,条件(順方向),妊娠の診断を受けたら、,子ども育成課に届け出てください。
w201106-0000184070,条件(順方向),子ども育成課に届け出てください。,出生届や健診などで今後の母子の健康管理で必要な「母子健康手帳」などをお渡しします。
w201106-0002100283,原因・理由(順方向),高温の油で揚げるオイルローストに比べ、ドライロースト法は時間も掛かり、,生産性も劣ってしまいます。
w201106-0002100283,原因・理由(順方向),温度によりロースト時間も左右されます。,よって熟練の職人技が要求されるうえ、
w201106-0002100283,原因・理由(順方向),温度によりロースト時間も左右されます。,生産性も劣ってしまいます。
w201106-0002100283,談話関係なし  原因・理由(順方向):少数意見,よって熟練の職人技が要求されるうえ、,生産性も劣ってしまいます。
w201106-0000518081,その他根拠(順方向),兵庫県内のいろいろな所に行くので、,あなたともきっと会えますよね。
w201106-0000518081,条件(順方向),兵庫県内のいろいろな所に行くので、,その時は、応援してね。
w201106-0000518081,条件(順方向),あなたともきっと会えますよね。,その時は、応援してね。
w201106-0001352284,条件(順方向),乗車する日時・区間を指定して、,市電を借り切ることができます。
w201106-0001930919,原因・理由(順方向),古くからの温泉なので、,随所に歴史の面影があります。
w201106-0002100358,逆接・譲歩(順方向),あまりつぶやきません。,たまにつぶやきます。
w201106-0001894130,原因・理由(逆方向)  談話関係なし:少数意見,上半期を振り返りつつ,２０１０年の上半期の映画興行成績がまとまった。
w201106-0001593020,原因・理由(順方向),以下の公益信託の奨学金・研究助成金等の募集要項および申請書をダウンロードしていただくことができます。,募集期間については、各募集要項にてご確認ください。
w201106-0001593020,原因・理由(順方向),募集期間を終了している基金についても次年度応募のご参考に掲載していますので、,ご覧ください。
w201106-0001854108,逆接・譲歩(順方向),出雲湯村温泉は「出雲風土記」にも登場するという歴史のある温泉です。,とはいえ、歓楽的な要素はなくひっそりとした温泉地です。
w201106-0001854108,逆接・譲歩(順方向),出雲湯村温泉は「出雲風土記」にも登場するという歴史のある温泉です。,温泉街自体もそれほど大きな物ではなく、
w201106-0001854108,逆接・譲歩(順方向),出雲湯村温泉は「出雲風土記」にも登場するという歴史のある温泉です。,川沿いに集落があるだけという雰囲気です。
w201106-0001854108,条件(順方向),知らなければ,川沿いに集落があるだけという雰囲気です。
w201106-0002200323,逆接・譲歩(順方向),いま福岡で台湾シネマコレクションやってるんですが、,日程的に『シルク』くらいしか観られそうにないです。
w201106-0002200323,談話関係なし  逆接・譲歩(逆方向):少数意見,日程的に『シルク』くらいしか観られそうにないです。,観ないかもしれませんが。
w201106-0002200323,原因・理由(順方向),平日レイトなので,観ないかもしれませんが。
w201106-0000548462,逆接・譲歩(順方向),しかし、当然それを快く思わない人がいても,不思議ではありません。
w201106-0001729651,逆接・譲歩(順方向),１４６８年にはヨーク派に捕らえられるが、,ヘンリー６世復位の１４７０年に釈放された。
w201106-0000112018,原因・理由(順方向),昼くらいに大阪に着くので,夕方まで時間をつぶす予定です。
w201106-0000112018,原因・理由(順方向),昼くらいに大阪に着くので,難波パークスに行こうと思っています。
w201106-0000112018,談話関係なし  目的(順方向):少数意見,夕方まで時間をつぶす予定です。,難波パークスに行こうと思っています。
w201106-0000596408,原因・理由(順方向),医療脱脂綿に精製水と殺菌成分を含ませた清浄綿です。,皮膚の清浄、素肌の清潔に。
w201106-0000596408,原因・理由(順方向),蒸気滅菌された完全密閉の小包装なので、,いつでも衛生的に使えます。
w201106-0002200256,逆接・譲歩(順方向),不良がいないという高校に入学したアイコとミホ。,だが、その学校では郡司という教師による厳しい身体検査と体罰が行われていた。
w201106-0002200256,原因・理由(順方向),ある日、ミホは郡司から体罰を受けたのを苦にして,アイコの目の前で自殺してしまう。
w201106-0002500094,逆接・譲歩(順方向),チーズはおおよそは好き。,ただ、匂いのきついのがちょっとって感じですね。
w201106-0001091054,談話関係なし  原因・理由(順方向):少数意見,首都圏から３時間、豊かな自然に囲まれた箱庭には数多くの本物が隠れています。,ゆったりとした時間と空間の中でじっくりと自分回帰しましょう。
w201106-0001091054,目的(逆方向)  談話関係なし:少数意見,日頃の喧騒を離れ、,ゆったりとした時間と空間の中でじっくりと自分回帰しましょう。
w201106-0001091054,原因・理由(逆方向),ゆったりとした時間と空間の中でじっくりと自分回帰しましょう。,下田は、あなたの元気や健康の回復を目指す「タウン・セラピー」を提供します。
w201106-0001799726,原因・理由(順方向),ラッパーにのみ穴が開けば良いので、,あまり深く押し込む必要はありません。
w201106-0001811123,原因・理由(順方向),絵を描くのは苦手なので,またしても古いカラオケ仕様です。
w201106-0001811123,原因・理由(順方向),この曲は音域が非常に広いため、,難易度が高い曲です。
w201106-0002600095,原因・理由(順方向)  談話関係なし:少数意見,厚労省によると、日本では患者数６人と公表している（２００８年）。,販売によって利益水準に達することはない。
w201106-0002600095,逆接・譲歩(順方向),患者を多く見積もっても,販売によって利益水準に達することはない。
w201106-0002600095,談話関係なし  原因・理由(逆方向):少数意見,販売によって利益水準に達することはない。,慈善事業、宣伝広告を狙ったもの。
w201106-0001634602,条件(順方向),下のリストから、ご希望のミニマル種をクリックして,登録ができます。
w201106-0001634602,原因・理由(順方向)  談話関係なし:少数意見,登録ができます。,あなたのメモリアルデーを可愛いミニマルちゃんで飾ってください。
w201106-0002400037,逆接・譲歩(順方向),小沢氏はたぶん、そうした資金を受領していたのでしょう。,私がここで指摘したいのは「それがどうしました？」ということです。
w201106-0002400037,逆接・譲歩(順方向),小沢氏はたぶん、そうした資金を受領していたのでしょう。,真の問題点は小沢氏や秘書が金を受領していたかどうかではないのです。
w201106-0001041664,談話関係なし  逆接・譲歩(順方向):少数意見,園児計３２人、職員計３人が下痢や嘔吐などの症状を訴えた。,両施設の発症者はいずれも軽症で、
w201106-0001041664,逆接・譲歩(順方向),園児計３２人、職員計３人が下痢や嘔吐などの症状を訴えた。,快方に向かっているという。
w201106-0001041664,談話関係なし  原因・理由(順方向):少数意見,両施設の発症者はいずれも軽症で、,快方に向かっているという。
w201106-0000062632,目的(順方向)  条件(順方向):少数意見,お気に入り機能をご利用頂くためには、,ブラウザのクッキー機能を有効にする必要があります。
w201106-0002200175,原因・理由(順方向)  条件(順方向):少数意見,ネットを使える人は、オンラインでも修理申し込みをできる。,この場合、どこが悪いのかなどの連絡や修理代金の見積もりなどをメールでやり取りできる。
w201106-0002200175,その他根拠(順方向),ネットを使える人は、オンラインでも修理申し込みをできる。,人によってはこのほうがいいかも。
w201106-0002200175,その他根拠(順方向),この場合、どこが悪いのかなどの連絡や修理代金の見積もりなどをメールでやり取りできる。,人によってはこのほうがいいかも。
w201106-0000338131,逆接・譲歩(順方向)  原因・理由(順方向):少数意見,月の満ち欠けとともに営んでいた生活が改暦によって、太陽の巡りとともに生きていくこととなった。,しかし、人間側の勝手な改暦に反発し、
w201106-0000338131,談話関係なし  原因・理由(順方向):少数意見,月の満ち欠けとともに営んでいた生活が改暦によって、太陽の巡りとともに生きていくこととなった。,反対派の妖怪たちが様々な問題を起こすようになってしまう。
w201106-0000338131,原因・理由(順方向)  談話関係なし:少数意見,しかし、人間側の勝手な改暦に反発し、,反対派の妖怪たちが様々な問題を起こすようになってしまう。
w201106-0000338131,目的(順方向),陸軍と妖怪は、妖怪絡みの問題を解決するため,新組織『妖人省』を立ち上げた。
w201106-0001617144,談話関係なし  逆接・譲歩(順方向):少数意見,真一君と二人だけでいる時間は、どこかに喜びがあった。,喜びから来る緊張感のような物もあった。
w201106-0001617144,逆接・譲歩(順方向),真一君と二人だけでいる時間は、どこかに喜びがあった。,けれど、今の私にはそれがない。
w201106-0001617144,逆接・譲歩(順方向),喜びから来る緊張感のような物もあった。,けれど、今の私にはそれがない。
w201106-0002700234,談話関係なし  原因・理由(順方向):少数意見,この無駄の無さと、描き込みは、評価に値する部分ですよね。,すばらしい！！
w201106-0001463616,原因・理由(逆方向)  談話関係なし:少数意見,センター試験の対策は過去問研究につきる。,センター数学は、他の入試とはあらゆる面で異なる特殊な試験である。
w201106-0000545521,目的(順方向),雲南市民の足となって,走っているのが『雲南市民バス』です。
w201106-0000545521,談話関係なし  目的(順方向):少数意見,雲南市民の足となって,走っているのが広域路線バス、『吉田・大東線』です。
w201106-0000545521,談話関係なし  目的(順方向):少数意見,雲南市民の足となって,吉田町から大東町を年末年始の４日間を除いて毎日７往復の運行をしています。
w201106-0002000111,原因・理由(逆方向),スタイリングが苦手な方は是非来ていただきたいです。,毎日のスタイリングが簡単に出来る手助けをさせていただきます。
w201106-0000551446,原因・理由(順方向),さて、今回のデベロッパーキャンプでは、懇親会形式の番外セッションを企画しています。,ここでは、懇親会場へのアクセスをご案内したいと思います。
w201106-0000551446,逆接・譲歩(順方向)  談話関係なし:少数意見,さて、今回のデベロッパーキャンプでは、懇親会形式の番外セッションを企画しています。,懇親会場は、ここからちょっと離れています。
w201106-0000551446,原因・理由(逆方向),ここでは、懇親会場へのアクセスをご案内したいと思います。,懇親会場は、ここからちょっと離れています。
w201106-0000551446,逆接・譲歩(順方向),デベロッパーキャンプは、東京国際フォーラムで実施していますが、,懇親会場は、ここからちょっと離れています。
w201106-0000649818,逆接・譲歩(逆方向),青森県は“青い森”というように自然に恵まれています。,いわゆる高山はありませんが、
w201106-0000649818,逆接・譲歩(逆方向),森や山が多くあります。,いわゆる高山はありませんが、
w201106-0000649818,逆接・譲歩(順方向),いわゆる高山はありませんが、,高くないゆえに、その土地の人たちと密接にかかわってきました。
w201106-0000711471,目的(逆方向),人間は体内に食べ物を取り入れて,生きています。
w201106-0001368167,原因・理由(順方向),コンプライアンス最優先の中で、正しい排ガス分析は重要課題です。,排ガス分析計に関する技術者の育成は企業としての使命です。
w201106-0001368167,原因・理由(順方向),コンプライアンス最優先の中で、正しい排ガス分析は重要課題です。,・各種排ガス分析計の検出原理、構造について学習します。
w201106-0001368167,原因・理由(順方向),排ガス分析計に関する技術者の育成は企業としての使命です。,・各種排ガス分析計の検出原理、構造について学習します。
w201106-0000441347,原因・理由(順方向),ちょっとお気軽・お手軽ランチをご用意しました。,リーズナブルなお値段でゆっくりとお楽しみください。
w201106-0002700300,原因・理由(逆方向),今日は２時間遅刻をしてしまいました。,なんだか体が言う事を聞かないのです。
w201106-0002700300,原因・理由(逆方向),ゴールデンウィーク明けから、一週間に１回は遅刻しています。,なんだか体が言う事を聞かないのです。
w201106-0000098876,原因・理由(順方向),文学資料閲覧のための施設です。,貸出はできませんので
w201106-0000098876,逆接・譲歩(順方向),埼玉ゆかりの文学者の作品や文学関係の資料が閲覧できます。,貸出はできませんので
w201106-0000098876,逆接・譲歩(順方向),コピーサービスは１枚１０円で行っておりますが、,貸出はできませんので
w201106-0001150000,原因・理由(順方向),周辺を豊かな海に囲まれ、,優れた海の文化が花開きました。
w201106-0002900174,原因・理由(順方向)  談話関係なし:少数意見,銀座日航ホテルは、銀座の地にオープンして,銀座のランドマークとしてご愛顧いただいております。
w201106-0002900174,原因・理由(順方向)  談話関係なし:少数意見,銀座日航ホテルは、銀座の地にオープンして,抜群な立地は、ビジネスはもちろん観光の拠点としてもご好評いただいております。
w201106-0002900279,原因・理由(順方向),以前のカードにはない（ラメ）が表面にもはいってて,キラキラしてます！！
w201106-0000863841,原因・理由(順方向),全てのサービスを終了させて頂くこととなりました。,サービス終了後は全てのページを削除させていただきます。
w201106-0000863841,談話関係なし  原因・理由(順方向):少数意見,全てのサービスを終了させて頂くこととなりました。,あらかじめご了承いただきますようお願い申し上げます。
w201106-0001779511,原因・理由(順方向),というわけで最終回です。,色んな感情が湧いてきますが、
w201106-0001779511,目的(順方向),特典を求めて、,ゲーマーズととらのあなに買いに行く。
w201106-0001779511,逆接・譲歩(順方向),色んな感情が湧いてきますが、,けいおんの最終回らしい良い話だったと思います。
w201106-0000916707,条件(順方向),企業で、それなりに仕事をこなしていると、,報告書を書く必要が出てきます。
w201106-0000916707,対比(方向なし),海外にはそのノウハウを記した本は多いのですが、,国内では意外と少ないのが実情です。
w201106-0002900282,原因・理由(順方向),オーソドックスな片踏みロードペダル。,ドレスアップも楽しめる。
w201106-0002900282,条件(順方向),トークリップ＆ストラップを取付けると,さらにオールディー且つ新鮮で、
w201106-0002900282,条件(順方向)  談話関係なし:少数意見,トークリップ＆ストラップを取付けると,シールドベアリングによって快適なペダリングを得られる。
w201106-0002900285,原因・理由(順方向),ハンガーボルト部分、リンク機構とプーリーケージ結合部の２箇所が多少ぐらぐらするようです。,こりゃいずれ交換だな。
w201106-0002900285,原因・理由(順方向),ハンガーボルト部分、リンク機構とプーリーケージ結合部の２箇所が多少ぐらぐらするようです。,今回はとりあえず恐る恐るプーリーを外してみました。
w201106-0002900285,逆接・譲歩(順方向),こりゃいずれ交換だな。,今回はとりあえず恐る恐るプーリーを外してみました。
w201106-0000555237,談話関係なし  条件(順方向):少数意見,それを実践することです。,ダンサーは、自分次第で絶対になれます。
w201106-0001722632,原因・理由(順方向),ヤフオクでお買いものすることがあって、,それで、大体イーバンクかゆうちょ銀行でお支払いしてます。
w201106-0001722632,原因・理由(順方向),最近もいくつか落札してました。,それで、大体イーバンクかゆうちょ銀行でお支払いしてます。
w201106-0001722632,逆接・譲歩(順方向),イーバンクは今までイーバンク同士は振込手数料が無料だったのですが、,最近有料になってしまいました。
w201106-0001357286,条件(順方向),入会しない限り、,わからない。
w201106-0000553063,逆接・譲歩(順方向),露天風呂もあるが、,眺めは期待できない。
w201106-0000867872,原因・理由(順方向),充実の研修制度もありますので,しっかり勉強できます。
w201106-0000878110,談話関係なし  逆接・譲歩(順方向):少数意見,また、女性・男性問わず、,アンチエイジングの効能をうたった化粧品が人気です。
w201106-0000440319,原因・理由(順方向),情報技術学院で開催中の『パソコンセミナー』は、カリキュラム変更のため一時中止させていただく事になりました。,参加希望の生徒様には、大変ご迷惑をおかけしますが、
w201106-0000440319,原因・理由(順方向)  談話関係なし:少数意見,情報技術学院で開催中の『パソコンセミナー』は、カリキュラム変更のため一時中止させていただく事になりました。,ご了承ください。
w201106-0002900317,目的(順方向),戦闘後、拿捕を防ぐため,港内でコレーエツは爆破され、
w201106-0002900317,目的(順方向),戦闘後、拿捕を防ぐため,ヴァリャーグも自沈した。
w201106-0002900317,目的(順方向),戦闘後、拿捕を防ぐため,また、スリンガーも自沈している。
w201106-0000155609,原因・理由(順方向),いべさんがご紹介するその他のイベントの一覧です。,何か面白いイベントを探されている方も、週末の予定を決めあぐねている方も是非ご覧になって下さい。
w201106-0000155609,条件(順方向),各タイトルをクリックすると,各イベントの詳細情報がご覧頂けます。
w201106-0000155609,談話関係なし  原因・理由(順方向):少数意見,各イベントの詳細情報がご覧頂けます。,何か面白いイベントを探されている方も、週末の予定を決めあぐねている方も是非ご覧になって下さい。
w201106-0001360068,原因・理由(順方向),パソコン整備士検定試験の練習問題を提供しております。,各設問に対して正しいと思われる選択肢にチェックを入れて下さい。
w201106-0001360068,条件(順方向),画面下にある『練習問題に挑戦する』ボタンをクリックすると、,練習問題が開始されます。
w201106-0001360068,原因・理由(順方向),練習問題が開始されます。,各設問に対して正しいと思われる選択肢にチェックを入れて下さい。
w201106-0002600085,対比(方向なし),かつては大型コンピューター開発生産事業を行っていた。,現在はテレコム・イタリアに買収され、
w201106-0002600085,対比(方向なし),かつては大型コンピューター開発生産事業を行っていた。,主にシステムソリューション事業を運営している。
w201106-0000336294,原因・理由(順方向),この記事の内容に関する文献や情報源が必要です。,ご存じの方はご提示ください。
w201106-0000336294,目的(逆方向)  談話関係なし:少数意見,この記事の内容に関する文献や情報源が必要です。,出典を明記するために
w201106-0000336294,原因・理由(順方向),この記事の内容に関する文献や情報源が必要です。,ご協力をお願いします。
w201106-0000336294,目的(逆方向),ご存じの方はご提示ください。,出典を明記するために
w201106-0000336294,目的(順方向),出典を明記するために,ご協力をお願いします。
w201106-0001837876,原因・理由(逆方向)  談話関係なし:少数意見,私たちは、常にプロフェッショナルとして、顧客のために行動いたします。,当事務所の弁護士は、「丁寧なサービス」と「社会への貢献」をその使命としております。
w201106-0001837876,原因・理由(順方向),当事務所の弁護士は、「丁寧なサービス」と「社会への貢献」をその使命としております。,常に、良質で丁寧なサービスを提供することを目指します。
w201106-0001628055,原因・理由(順方向),少しずつ増えていきますので,ご確認下さい。
w201106-0001859317,原因・理由(順方向)  談話関係なし:少数意見,三井海上と住友海上が合併しました。,１０／１より三井住友海上火災保険株式会社となります。
w201106-0001145637,逆接・譲歩(順方向),結婚を切望する相談者がたくさんいます。,そういう人は総じて、大切な縁を持つ人を見逃している場合が多いのです。
w201106-0001145637,条件(順方向),綿密な特徴、そして入籍日まで知っておけば、,宿命の伴侶は確実に浮かび上がってきますよ。
w201106-0002300234,条件(順方向),連休があって,旅をしない俺ではない。
w201106-0002300234,原因・理由(順方向),旅をしない俺ではない。,したがって旅をしているのだ。
w201106-0002300234,逆接・譲歩(順方向),今回は全然失恋の類はしていないのだが、,「ある種の傷心旅行」と位置づけている。
w201106-0001623041,逆接・譲歩(順方向),男女とも姓のみを彫刻しますが、,女性の場合は名前のみでも構いません。
w201106-0001596360,目的(逆方向),大手の日本調剤は漢方薬局と組み,健康食品を取り扱い始めた。
w201106-0001666510,逆接・譲歩(順方向)  談話関係なし:少数意見,前回のコラムでは「管理職は人を管理するな。,仕事を管理せよ」と書きました。
w201106-0001666510,原因・理由(逆方向),前回のコラムでは「管理職は人を管理するな。,どうしても個人的な好き嫌いの管理になる。
w201106-0001666510,原因・理由(逆方向),前回のコラムでは「管理職は人を管理するな。,それでは組織はよどんでしまう。
w201106-0001666510,談話関係なし  原因・理由(逆方向):少数意見,仕事を管理せよ」と書きました。,それでは組織はよどんでしまう。
w201106-0001666510,条件(順方向),人を管理すると、,どうしても個人的な好き嫌いの管理になる。
w201106-0001666510,条件(順方向),人を管理すると、,それでは組織はよどんでしまう。
w201106-0001666510,原因・理由(順方向),どうしても個人的な好き嫌いの管理になる。,それでは組織はよどんでしまう。
w201106-0001018949,逆接・譲歩(順方向),おいしいごはんのメニューがたっぷりあるバーってなかなかないですよね。,でもここは本格的な料理が揃っているのがうれしい。
w201106-0001018949,逆接・譲歩(順方向)  談話関係なし:少数意見,おいしいごはんのメニューがたっぷりあるバーってなかなかないですよね。,香ばしいパンに、ジューシーなフォアグラがガツンと挟まった”フォアグラサンドウィッチ”なんてメニューもあるんです。
w201106-0002900121,原因・理由(逆方向)  談話関係なし:少数意見,害をもたらすものは排除しなければならない。,それが大人の道理であることは間違いないのだけれど。
w201106-0002900121,原因・理由(逆方向)  談話関係なし:少数意見,巨大な力を持つものは責任を負わなければならない。,それが大人の道理であることは間違いないのだけれど。
w201106-0001150386,逆接・譲歩(順方向),今、円高で日本の製造業が悲鳴を上げている。,しかし、私は打開策はいくらでもあると思う。
w201106-0000347315,目的(順方向),本市では各学校園教員の指導力向上を図るために、,「アシスタントティーチャー」派遣事業を実施しております。
w201106-0000347315,談話関係なし  目的(順方向):少数意見,本市では各学校園教員の指導力向上を図るために、,第一線から退かれている皆様のお力を是非お貸し下さい。
w201106-0000347315,原因・理由(順方向),「アシスタントティーチャー」派遣事業を実施しております。,第一線から退かれている皆様のお力を是非お貸し下さい。
w201106-0001186263,談話関係なし  目的(逆方向):少数意見,平成１８年の一冊目から遡って,登録していきたいと思っております。
w201106-0002200135,原因・理由(順方向),皆さまに支えられ,４０周年！
w201106-0002200135,原因・理由(順方向)  談話関係なし:少数意見,４０周年！,日頃のご愛顧にお応えして
w201106-0002200135,原因・理由(順方向),４０周年！,謝恩価格プランにて皆さまのお越しを心からお待ちしております。
w201106-0002200135,目的(順方向)  原因・理由(順方向):少数意見,日頃のご愛顧にお応えして,謝恩価格プランにて皆さまのお越しを心からお待ちしております。
w201106-0002200135,原因・理由(順方向)  談話関係なし:少数意見,日頃のご愛顧にお応えして,お得な学割プラン２，７００円〜もあります。
w201106-0000672177,目的(順方向),社内勉強会を適切に運営し続けるためには,どのような工夫が必要なのか。
w201106-0001617740,原因・理由(順方向),多くの女性の心には、いつも水子のことがあります。,自分でご供養されたい方の、お手伝いをします。
w201106-0001617740,原因・理由(順方向),多くの女性の心には、いつも水子のことがあります。,電話、または面談で、方法などをお伝えします。
w201106-0001617740,目的(順方向),自分でご供養されたい方の、お手伝いをします。,電話、または面談で、方法などをお伝えします。
w201106-0001456910,逆接・譲歩(順方向),一口に経営コンサルタントといっても,いくつかに分類できます。
w201106-0001456910,逆接・譲歩(順方向),いくつかに分類できます。,しかし、特に決まった分類方法があるわけではありません。
w201106-0002000098,逆接・譲歩(順方向),やさしい色合いですが、,色々な願いを込めた欲張りな組み合わせです。
w201106-0001563550,原因・理由(順方向),オメガスピードマスターウオッチ、オメガシーマスターなどを通販でお安く購入出来る通販サイトの、御案内をしています。,掲載されたネットショップで必ずあなたのお好み時計がお安くみつかることを期待します。
w201106-0002500026,談話関係なし  その他根拠(順方向):少数意見,ピットから漏れた水が海に流れ出しているのがはっきりと分かる。,その量が相当なものになっていることは間違いない。
w201106-0002500026,談話関係なし  その他根拠(順方向):少数意見,ピットから漏れた水が海に流れ出しているのがはっきりと分かる。,１時間当たりトン単位になっていることは間違ない。
w201106-0002500026,その他根拠(順方向),水の流れの高さ方向の幅が２０センチというから,その量が相当なものになっていることは間違いない。
w201106-0002500026,その他根拠(順方向),水の流れの高さ方向の幅が２０センチというから,１時間当たりトン単位になっていることは間違ない。
w201106-0002600329,原因・理由(順方向),ほかに側線もあり、,電車が留置されていることがある。
w201106-0002900130,逆接・譲歩(順方向),残念なことに、私がこの場所に入れたのは、たった１０日の旅行の間だけでした。,しかしその旅行の思い出は、私の故郷を歩き回る時でさえ、決して興奮が覚めることはありませんでした。
w201106-0002700073,原因・理由(順方向),プッシュするのも安定感あって,ぐらぐらしないから
w201106-0002700073,原因・理由(順方向),プッシュするのも安定感あって,片手で十分ＯＫ！
w201106-0002700073,原因・理由(順方向),ぐらぐらしないから,片手で十分ＯＫ！
w201106-0002700073,原因・理由(逆方向)  その他根拠(順方向):少数意見,液だれに関しては今のことろ見られませんよ！,液自体をたっぷり入れすぎてないからかもね！
w201106-0001994353,原因・理由(順方向),６２期生２年生が６／２４〜６／２７の予定で北海道へ修学旅行に行っています。,その様子をお伝えします。
w201106-0002900003,条件(順方向),あんな技が出来たら,楽しいだろうな。
w201106-0002400305,談話関係なし  原因・理由(逆方向):少数意見,ボリス・イオファンらロシア人２人とアメリカ人１人による計３案が同時に勝者に選ばれた。,新古典主義に基盤を置いた案だった。
w201106-0002400305,原因・理由(逆方向),ボリス・イオファンらロシア人２人とアメリカ人１人による計３案が同時に勝者に選ばれた。,これにはレーニンと嗜好が違ったヨシフ・スターリンらの意向があった。
w201106-0002400305,談話関係なし  原因・理由(逆方向):少数意見,新古典主義に基盤を置いた案だった。,これにはレーニンと嗜好が違ったヨシフ・スターリンらの意向があった。
w201106-0001056314,原因・理由(順方向),上記にて使用されている製品は全て研究用です。,研究用以外の目的には使用しないでください。
w201106-0001056314,原因・理由(順方向),ヒト、動物の診断あるいは治療用としては承認されておりません。,研究用以外の目的には使用しないでください。
